bench_id,lat,lon,score,reviews,positive_count,negative_count
1441,40.78517083,-73.94656417,0.0,1,0,0
1447,40.73689391,-73.97883365,0.0,0,0,0
1454,40.82350485,-73.94899929,0.0,0,0,0
1468,40.81037657,-73.95752475,0.0,0,0,0
1469,40.77731663,-73.94891435,0.0,0,0,0
1476,40.746456,-73.99407302,0.0,1,0,0
1480,40.71410473,-73.98274303,0.0,0,0,0
1481,40.79754008,-73.94100518,0.0,0,0,0
1489,40.848154,-73.937273,0.0,0,0,0
1500,40.782626,-73.957392,0.0,0,0,0
1501,40.84612,-73.937989,0.0,0,0,0
1503,40.809145,-73.947971,0.0,0,0,0
1512,40.7973474,-73.96410679,0.0,0,0,0
1517,40.714333,-73.980849,0.0,0,0,0
1521,40.78542055,-73.94960958,-2.0,5,0,1
1526,40.79526473,-73.96562879,2.0,5,3,2
1540,40.7087337,-74.01240787,0.0,1,0,0
1541,40.74613027,-74.00174287,0.0,0,0,0
1542,40.80467,-73.937318,0.0,0,0,0
1543,40.8297631,-73.94415576,0.0,0,0,0
1556,40.81060756,-73.94831281,0.0,0,0,0
1563,40.818417,-73.96075,0.0,0,0,0
1569,40.740459,-73.982888,6.0,5,3,0
1583,40.7641663,-73.95590311,0.0,6,0,0
1585,40.753181,-73.980421,1.4893617021276595,47,13,6
1589,40.75868202,-73.99632283,0.0,0,0,0
1600,40.718477,-73.988524,0.0,1,0,0
1601,40.746253,-73.974972,0.0,2,0,0
1606,40.78224901,-73.9753961,2.0,5,2,1
1607,40.79994749,-73.96478455,0.0,0,0,0
1608,40.78222498,-73.97541248,2.0,5,2,1
1610,40.81835533,-73.94170346,0.0,0,0,0
1631,40.71976119,-73.99163651,0.0,1,0,0
1637,40.73956984,-73.99508372,2.0,5,2,1
1640,40.705246,-74.013884,-2.0,5,2,3
1645,40.70623158,-74.00571511,0.0,0,0,0
1646,40.75125,-73.991027,0.0,0,0,0
1649,40.71453482,-74.01060291,1.1111111111111112,9,2,1
